intent,text
greeting,"Halo, apa kabar?"
greeting,"Hai, senang bertemu denganmu!"
greeting,"Selamat pagi!"
greeting,"Selamat siang!"
greeting,"Selamat sore!"
greeting,"Selamat malam!"
greeting,"Hai!"
greeting,"Halo!"
greeting,"Hai, apa kabar hari ini?"
greeting,"Hai, bagaimana kabarmu?"
greeting,"Hi, how are you?"
greeting,"Hello, nice to meet you!"
greeting,"Good morning!"
greeting,"Hi, how's your day going?"
greeting,"Hey, how are you doing?"
time,"Sekarang jam berapa?"
time,"Pukul berapa sekarang?"
time,"Boleh tahu jam berapa sekarang?"
time,"What time is it now?"
time,"Can you tell me the current time?"
time,"What's the current time?"
time,"What time is it?"
time,"Could you let me know the time?"
date,"Tanggal berapa sekarang?"
date,"Sekrang sudah tanggal berapa ya?"
date,"hari apa sekarang?"
date,"Tolong informasikan tanggal hari ini."
date,"Saya ingin tahu tanggal saat ini."
date,"Bisa beri tahu saya tanggal sekarang?"
date,"Tanggal sekarang apa ya?"
date,"What date today?"
date,"What date now?"
date,"What is the date today?"
date,"Can you please provide the current date?"
date,"I want to know the current date."
date,"Can you tell me the date today?"
date,"What's the current date?"
name,"nama kamu siapa?"
name,"nama please?"
name,"tebak nama kamu?"
name,"saya perlu tahu nama kamu?"
name,"ayolah, sebutkan nama kamu?"
name,"apakah kamu punya nama?"
name,"kiri-kira siapa nama kamu?"
name,"Siapa nama kamu?"
name,"Siapa nama chatbot ini?"
name,"Boleh tahu nama chatbotnya?"
name,"Chatbot ini namanya apa ya?"
name,"Tolong beritahu saya nama chatbot."
name,"Chatbot ini diberi nama apa?"
name,"What is your name?"
name,"What is the name of this chatbot?"
name,"May I know the name of the chatbot?"
name,"What's the name of this chatbot?"
name,"Can you please tell me the name of the chatbot?"
name,"What is the chatbot's name?"
hobby,"Apa hobi kamu?"
hobby,"Apa yang kamu sukai?"
hobby,"Apa hobi kamu?"
hobby,"hobi kamu?"
hobby,"hobi hobby kamu?"
hobby,"hobi kamu apa?"
hobby,"Apa kebiasaan kamu?"
hobby,"Bisakah kamu berbagi tentang hobi yang kamu miliki?"
hobby,"Apakah ada hobi yang kamu sukai?"
hobby,"Bagaimana kamu biasanya menghabiskan waktu luang?"
hobby,"Ceritakan tentang kegiatan favoritmu."
hobby,"What are your hobbies or habits?"
hobby,"Can you share about the hobbies you have?"
hobby,"Do you have any hobbies you enjoy?"
hobby,"How do you usually spend your free time?"
hobby,"Tell me about your favorite activities."
human,"Apakah kamu manusia?"
human,"siapa kamu?"
human,"Apakah kamu robot?"
human,"Apakah kamu ai kecerdasan buatan?"
human,"Kamu manusia atau bukan?"
human,"Bisakah kamu mengatakan apakah kamu manusia atau tidak?"
human,"Apa asalmu? Manusia atau bukan?"
human,"Apakah kamu memiliki kehidupan seperti manusia?"
human,"Are you a human?"
human,"Are you a human or not?"
human,"Can you tell me if you're a human or not?"
human,"What is your origin? Are you a human or something else?"
human,"Do you have a human-like existence?"
human,"apakah kamu punya perasaan?"
human,"apakah kamu hidup seperti manusia?"
human,"apakah kamu nyata?"
human,"Apakah kamu bisa memprediksi sesuatu?"
thankyou,"Terima kasih!"
thankyou,"Makasih ya!"
thankyou,"Terima kasih banyak!"
thankyou,"Saya sangat menghargai bantuanmu!"
thankyou,"Sangat berterima kasih atas apa yang telah kamu lakukan!"
thankyou,"Thank you!"
thankyou,"Thanks!"
thankyou,"Thank you so much!"
thankyou,"I really appreciate your help!"
thankyou,"I'm extremely grateful for what you've done!"
good,"mantap sekali."
good,"mantap."
good,"pintar."
good,"pintarrrr sekali."
good,"Oke."
good,"Oke oke ok."
good,"Baik."
good,"Bagus."
good,"bagussssssss sekali"
good,"mantap sekali"
good,"Sip."
good,"Lancar jaya."
good,"Okay."
good,"Good."
good,"Good job."
good,"Great."
good,"Alright."
good,"Smooth sailing."
good,"saya suka unklab"
general,"apa kepanjangan dari unklab?"
general,"apa arti kata unklab?"
general,"berapa jumlah dosen di unklab?"
general,"dosen di fakultas apa?"
general,"berapa fakultas di universitas klabat?"
general,"apa kepanjangan dari kata unklab?"
general,"apa kepanjangan dari istilah unklab?"
general,"aku senang dengan unklab."
general,"seberapa besar universitas klabat?"
general,"universitas klabat"
general,"universitas klabat (Unklab)"
general,"Deskripsikan tentang unklab dengan singkat."
general,"Dengan 2 kalimat, jelaskan tentang unklab?"
general,"Dengan menggunakan 3 kalimat, jelaskan tentang unklab?"
general,"Hal baru apa saja yang ada di unklab?"
general,"unklab"
general,"Gambaran unklab itu seperti apa?"
general,"Gambaran universitas klabat itu seperti apa?"
general,"Gambaran campus unklab itu seperti apa?"
general,"berikan saya sedikit gambaran tentang unklab universitas klabat?"
general,"dapatkah kamu gambarkan campus unklab itu seperti apa?"
general,"Saya senang dengan kamu."
general,"apa itu unklab?"
general,"apakah kamu tahu tentang unklab?"
general,"apakah kamu tahu tentang universitas klabat?"
general,"apa itu universitas klabat?"
general,"universitas klabat?"
general,"klabat university?"
general,"saya tidak tahu universitas klabat?"
general,"saya tidak tahu unklab?"
general,"berikan saya sedikit informasi tentang unklab?"
general,"informasi tentang unklab."
general,"informasi umum tentang universitas klabat."
general,"berikan sedikit informasi tentang unklab?"
general,"apa ya unklab itu?"
general,"unklab adalah"
general,"universitas klabat adalah"
general,"Alamat dari campus Unklab?"
general,"dimana alamat unklab"
general,"dimana situs web unklab?"
general,"dimana alamat situs website unklab?"
general,"dimana lokasi unklab"
general,"saya mau ke unklab, tapi tidak tahu alamat unklab."
general,"dimana alamat atau lokasi unklab"
general,"Nomor telepon unklab?"
general,"apakah kamu tahu nomor telepon unklab?"
general,"apakah ada nomor yang bisa dihubungi di unklab?"
general,"Email unklab?"
general,"nomor hp unklab yang bisa dihubungi?"
general,"Email unklab yang bisa dihubungi?"
general,"apakah kamu tahu email unklab?"
general,"dimana alamat unklab sekarang?"
general,"apa yang kamu suka dengan unklab?"
general,"apakah kamu suka dengan Universitas Klabat?"
general,"apakah kamu suka dengan unklab?"
general,"apa yang menarik dari Universitas Klabat?"
general,"saya butuh bantuan untuk cari informasi tentang unklab?"
general,"bagaimana keamanan di dalam campus unklab?"
general,"bagaimana keadaan di dalam campus unklab?"
general,"apa saja yang perlu di siapkan untuk pendaftaran?"
general,"Dimana alamat dari campus universitas klabat (Unklab)"
